,id,core_id,name,description,core_name,core_description,wmd,wmd_name,batch_number,type,created_at,updated_at,valuable_score
277240,ff69326d-d40c-4fa3-bc33-8ca5dec1727e,0a64418d-5fef-4676-afc5-19d2981ba4d2,Creating a Culture of Staff Wellbeing,"• Present this data point to your people managers and have them identify some of the factors preventing time off policies from being used.  Ensure people managers and leadership are role modeling use of time off policies. \n• Ensure all people managers are committed to encouraging their direct reports to take time off  (check vacation balances) when necessary and working with them to plan for this time.\n• Speak with all-staff and encourage the use of time off.\n• When your team decides what to do, be sure you have clear ownership, action steps and well-defined goals using the Smart Goals format: https://yearup.box.com/s/s0n0no79e38z0253qpwe4jg8oza3bpe1",Amp your inclusion training,"Hosting unconscious bias, LGBTQ and gender inclusion workshops is a great starting point to get the whole team on the same page and start building a foundation for understanding. Workshops and training sessions are only as powerful as the messaging and commitment behind them. When deciding to take this step, prioritize workshops trainings that have hands-on exercises and be sure to make them optional. Take the time to communicate the goals of this process to the team and map out a realistic strategy beyond the workshop itself. This Action was created in collaboration with [Argo Collective.](https://www.argocollective.co)",0.473241374634315,0.215155548649743,4,cust_ins,2018-05-29 03:01:08.332514,2018-05-29 03:02:08.239827,0.9177336479042918
17040,ff591fd1-4b8c-4dc3-bc92-b98a638c64a6,3d82ef92-0ffa-4d3d-81e4-b950c1d4ae37,Talent Development Team Kits,[Check out the relevant manager team Kits on the Talent Development site.](https://talentdevelopment.force.com/s/tdp-page?name=Manager+Team+Kits&site=TalentPortal),In-person project kickoff,Bring every team member to a central location anytime there is a kick-off for a new project. One company has found this helps align the team on the goals of the project and strengthens team member relationships from the beginning.,0.361291101979905,0.182915797010806,4,cust_ins,2018-05-29 00:12:10.055371,2018-05-29 00:12:10.111206,0.001138240574506284
168425,ff2f1753-9e64-4459-8ddc-8db25c515aca,9ca78a29-5580-40ce-bf73-407ffd947085,The how sandwich,"Guide managers to help employees communicate in their one-on-one conversations. Coaches at one company challenge managers to apply the 'how sandwich' to all one-on-one conversations over a week's time. They begin every one-on-one conversation with ""How are you?"" and close with ""How can I help?""",The how sandwich,"Guide managers to help employees communicate in their one-on-one conversations. Coaches at one company challenge managers to apply the 'how sandwich' to all one-on-one conversations over a week's time. They begin every one-on-one conversation with ""How are you?"" and close with ""How can I help?""",1.0,1.0,4,cust_ins,2018-05-29 00:12:13.965206,2018-05-29 00:12:14.025883,0.0
181633,fefca44a-16b5-4a57-b7b2-752d32a45e26,7fa5b733-0cbf-4d2b-833b-b7d30ecf2487,Enable Others To Act,"Research The Leadership Challenge (Jim Kouzes & Barry Posner) with an emphasis on the leadership practice of ""Enable Others to Act"".",On leading with authenticity and style,"Support new leaders with training focused on leveraging their strengths. One company has introduced a series of coaching sessions for new managers to discover and design their unique, personal style of leading teams. The definition of an individual's style combines the aspirations and attributes of individual managers with the values and desired behaviors of the organization.",0.391481736819214,0.164383005131852,4,cust_ins,2018-05-29 00:12:09.771358,2018-05-29 00:12:09.822160,0.012521217794688684
149021,fe8ea4e2-09c0-48cc-8286-bcd4c04ce092,e0a2e6a5-31b4-4991-b45e-4620f8ab9988,Celebrating failure,"Share learning across the organization, even if the learning is that an initiative failed. One company encourages employees to send out public service announcements via email when they make a mistake. The email details what happened and why they think it happened to share learnings across the organization. Every year, the person with the most surprising failure gets a three-armed sweater as an award. Alternatives: Create a yay, we failed wall where individuals can write their failures, or a Slack channel to post stories electronically.",Celebrating failure ,"Share learning across the organization, even if the learning is that an initiative failed. One company encourages employees to send out public service announcements via email when they make a mistake. The email details what happened and why they think it happened to share learnings across the organization. Every year, the person with the most surprising failure gets a three-armed sweater as an award. Alternatives: Create a yay, we failed wall where individuals can write their failures, or an internal communications channel to post stories electronically.",0.970195120916446,1.0,4,cust_ins,2018-05-29 00:12:13.060507,2018-05-29 00:12:13.105910,0.0
169676,fe665fc6-b01c-4003-94fd-6881b67da1e5,4c4d757e-1178-497f-9af2-f7188914bbbb,Book: Crucial Conversations,"This book provides tools for talking when the stakes are high. When stakes are high, opinions differ and emotions are strong, that’s a crucial conversation! This well-researched and well-structured book provides insights and practical tools for performing at your best you need it the most.",The Power of Reiteration,"Communicate your company and team vision multiple times. Research shows that reiterating the vision through sufficient channels enables employees to better remember and recall it. For example, you can communicate the vision at weekly team meetings, off-sites, when new employees are onboarded, when new projects are assigned, or when wins are celebrated.",0.435977465025455,0.15553215152307,4,cust_ins,2018-05-29 00:12:18.516657,2018-05-29 00:12:18.577651,0.8193610910921554
178777,fe5fccbb-f2c6-492a-9435-068dc040a429,aa7c8219-3a35-4a1c-b929-3cf1cee48f09,Help me cards,"Provide people with a clear and easy way to get your attention when they really need your support as a manager. Create a physical artefact, like a coffee card, that employees are given during their first week. Employees use that card whenever they really need to get their manager's attention and need immediate support.",Help me cards,"Provide people with a clear and easy way to get your attention when they really need your support as a manager. Create a physical artifact, like a coffee card, that employees are given during their first week. Employees use that card whenever they really need to get their manager's attention and need immediate support.",1.0,1.0,4,cust_ins,2018-05-29 00:12:17.304592,2018-05-29 00:12:17.357555,0.0
70158,fe554057-e40e-4c46-a840-4cf600bd2f81,c395efe3-cf3f-406f-99f9-99644b1bb7c0,Open Program: Influencing Skills,"[Being successful in today's organizations requires that you have the ability to sell your\nideas and influence others without relying on positional authority.\nThe Influence Inside day long program is a highly interactive, discovery based learning\nexperience that focuses on building skills for communicating your ideas in a way that will lead others to support them.](https://sfdc.co/InfluencingSkills)",Influencing Skills Workshop,"Hold a workshop for employees looking to develop skills to influence others. The workshop can teach you on how to sell your ideas and influence people without relying on positional authority. For example, a day long program might focus on building skills for communicating ideas in a way that will lead others to support them through highly interactive and discovery based methods including plenty of simulated practice.",0.669827651904403,0.618181924169869,4,cust_ins,2018-05-29 00:12:08.307488,2018-05-29 00:12:08.369646,0.0
101818,fdb8c0b1-774d-4732-a28f-48e12f2a7d21,ee56489b-1a43-4028-9c8f-9bbd80dfe5b8,What's in the toolshed?,"Take inventory of the tools and resources people use, to identify those that are most valuable. One organization documents all the systems being used and each department gives a rating on each tool. Based on the rating they decide which tools to start, stop and continue using. This could be rolled out to frequently-used resources and vendors as well.",What's in the toolshed?,"Take inventory of the tools and resources people use to identify those that are most valuable. One organization documents all the systems being used and each department gives a rating on each tool. Based on the rating they decide which tools to start, stop and continue using. This could be rolled out to frequently-used resources as well.",0.973449546866395,1.0,4,cust_ins,2018-05-10 19:19:42.352881,2018-05-10 19:19:42.370391,0.0
163866,fda2b399-9e00-41e6-8e7e-2d9d91e34bd3,8a20141e-feb8-4bc4-9b56-d47894f1d7c4,In-person open forums,"Hold open forum meetings with senior leaders when they visit new locations. At one organization whenever the CEO is visiting a remote office, he presents to the entire office and answers questions. This gives the entire office a way to hear from the CEO and pose questions to him about the state of the organization, when they normally don't have that access.",In-person open forums,"Hold open forum meetings with senior leaders when they visit new locations. At one company whenever the CEO is visiting a remote office, he presents to the entire office and answers questions. This gives the entire office a way to hear from the CEO and pose questions to him about the state of the business, when they normally don't have that access.",0.978561073624878,1.0,4,cust_ins,2018-05-15 20:16:14.704005,2018-05-15 20:16:14.712968,0.0
